ID,stationName,Date,Time,Status,Frequency,df/dt,B345_BUSA_VS Magnitude,B345_BUSA_VS Angle,B345_BUSB_VS Magnitude,B345_BUSB_VS Angle,T115_T1X_VS Magnitude,T115_T1X_VS Angle,T115_T2X_VS Magnitude,T115_T2X_VS Angle,L345_3165_IS Magnitude,L345_3165_IS Angle,L345_3619_IS Magnitude,L345_3619_IS Angle,L345_3280_IS Magnitude,L345_3280_IS Angle,L345_3921_IS Magnitude,L345_3921_IS Angle,T115_T1X_IS Magnitude,T115_T1X_IS Angle,T115_T2X_IS Magnitude,T115_T2X_IS Angle
99999,XXXXX,1/7/2021,12:13:36.533,00 00,59.997002,0,356942.75,-179.117508,356570.75,-179.088852,117967.8984,-170.992966,118444.9688,177.599457,227.053925,-130.381714,229.800537,-131.401566,498.053772,-155.809586,499.884827,-155.391327,2024.258911,-172.15033,800.181946,-3.449481
99999,XXXXX,1/7/2021,12:13:36.567,00 00,59.998001,0,356953.7188,-179.146149,356592.6563,-179.111771,117974.4609,-171.015869,118451.5313,177.570801,227.969467,-130.398895,230.71608,-131.430237,499.884827,-155.694977,500.800385,-155.442886,2025.174438,-172.178986,799.266418,-3.409374
99999,XXXXX,1/7/2021,12:13:36.600,00 00,59.998001,0,356964.6563,-179.180527,356592.6563,-179.146149,117976.6484,-171.055984,118455.8984,177.536423,227.053925,-130.204102,229.800537,-131.355743,498.969299,-155.700714,499.884827,-155.437149,2024.258911,-172.230545,798.350891,-3.380728
99999,XXXXX,1/7/2021,12:13:36.633,00 00,59.998001,0,356964.6563,-179.209183,356592.6563,-179.180527,117978.8438,-171.084625,118453.7109,177.507782,227.969467,-130.301498,229.800537,-131.539093,499.884827,-155.717911,499.884827,-155.534561,2024.258911,-172.259201,799.266418,-3.51251
99999,XXXXX,1/7/2021,12:13:36.667,00 00,59.998001,0,356964.6563,-179.237823,356592.6563,-179.209183,117978.8438,-171.113281,118458.0938,177.473389,227.053925,-130.330139,229.800537,-131.550552,497.138214,-155.786652,498.969299,-155.574661,2023.343384,-172.299301,798.350891,-3.495325
99999,XXXXX,1/7/2021,12:13:36.700,00 00,59.998001,0,356975.5938,-179.266464,356603.5938,-179.232086,117985.4063,-171.141937,118460.2891,177.45047,227.969467,-130.375977,230.71608,-131.596375,498.053772,-155.815308,499.884827,-155.563202,2023.343384,-172.333679,799.266418,-3.558354
99999,XXXXX,1/7/2021,12:13:36.733,00 00,59.998001,0,356975.5938,-179.29512,356614.5,-179.260742,117985.4063,-171.170578,118458.0938,177.421829,227.053925,-130.616623,229.800537,-131.814102,497.138214,-155.94136,498.969299,-155.580399,2024.258911,-172.333679,798.350891,-3.598461
99999,XXXXX,1/7/2021,12:13:36.767,00 00,59.998001,0,356975.5938,-179.323761,356614.5,-179.289398,117987.6016,-171.199219,118460.2891,177.393188,227.969467,-130.908829,229.800537,-132.197983,498.969299,-156.073135,500.800385,-155.649155,2024.258911,-172.396713,797.435364,-3.518248
99999,XXXXX,1/7/2021,12:13:36.800,00 00,59.999001,0,356975.5938,-179.329498,356614.5,-179.300858,117989.7891,-171.210678,118458.0938,177.387451,227.969467,-130.633804,230.71608,-131.733887,499.884827,-155.872604,499.884827,-155.563202,2023.343384,-172.379517,798.350891,-3.558354
99999,XXXXX,1/7/2021,12:13:36.833,00 00,59.998001,0,356964.6563,-179.363861,356603.5938,-179.33522,117987.6016,-171.250793,118458.0938,177.347351,228.884995,-130.633804,230.71608,-131.842758,498.053772,-155.832504,499.884827,-155.540298,2023.343384,-172.431091,798.350891,-3.627107
99999,XXXXX,1/7/2021,12:13:36.867,00 00,59.999001,0,356986.5313,-179.375336,356625.4375,-179.340958,117991.9688,-171.250793,118469.0391,177.347351,227.053925,-130.651016,230.71608,-131.745346,498.053772,-155.855408,498.969299,-155.568939,2023.343384,-172.442535,797.435364,-3.587
99999,XXXXX,1/7/2021,12:13:36.900,00 00,59.999001,0,356997.5,-179.386795,356636.4063,-179.358139,117994.1641,-171.267975,118469.0391,177.330154,227.969467,-130.794235,230.71608,-131.963074,497.138214,-156.038757,498.969299,-155.649155,2024.258911,-172.436813,798.350891,-3.684399
99999,XXXXX,1/7/2021,12:13:36.933,00 00,59.999001,0,357008.4063,-179.403976,356647.3438,-179.375336,117996.3516,-171.285156,118473.4141,177.312973,227.969467,-130.673904,230.71608,-131.922974,496.222687,-156.067398,498.969299,-155.660614,2023.343384,-172.448273,798.350891,-3.667214
99999,XXXXX,1/7/2021,12:13:36.967,00 00,59.999001,0,357008.4063,-179.426895,356647.3438,-179.398254,117996.3516,-171.30809,118473.4141,177.290039,227.969467,-130.696838,231.631622,-131.98027,497.138214,-156.033035,499.884827,-155.643417,2023.343384,-172.488388,798.350891,-3.684399
99999,XXXXX,1/7/2021,12:13:37.000,00 00,59.999001,0,357019.3438,-179.444077,356658.2813,-179.415436,117998.5313,-171.325272,118473.4141,177.272858,227.969467,-130.817169,230.71608,-131.963074,498.053772,-155.992935,499.884827,-155.775192,2023.343384,-172.505569,797.435364,-3.707321
99999,XXXXX,1/7/2021,12:13:37.033,00 00,59.999001,0,357019.3438,-179.46701,356647.3438,-179.432617,117994.1641,-171.342468,118469.0391,177.255676,228.884995,-130.903107,230.71608,-132.106308,498.969299,-155.987198,499.884827,-155.603302,2024.258911,-172.49411,798.350891,-3.804719
99999,XXXXX,1/7/2021,12:13:37.067,00 00,59.999001,0,357030.3125,-179.47847,356658.2813,-179.449814,117996.3516,-171.35965,118475.6016,177.238495,227.969467,-130.851532,230.71608,-132.014648,498.053772,-156.061676,498.969299,-155.740829,2023.343384,-172.539948,798.350891,-3.753151
99999,XXXXX,1/7/2021,12:13:37.100,00 00,59.999001,0,357030.3125,-179.495651,356669.2188,-179.46701,117998.5313,-171.371109,118482.1641,177.221298,227.969467,-130.788513,230.71608,-132.117767,498.053772,-155.843964,498.969299,-155.620499,2024.258911,-172.528488,797.435364,-3.798995
99999,XXXXX,1/7/2021,12:13:37.133,00 00,60,0,357030.3125,-179.507111,356669.2188,-179.47847,117991.9688,-171.382568,118479.9766,177.209839,227.969467,-130.696838,230.71608,-132.054749,496.222687,-155.975723,498.969299,-155.700714,2024.258911,-172.539948,797.435364,-3.764612
99999,XXXXX,1/7/2021,12:13:37.167,00 00,60,0,357041.25,-179.51857,356669.2188,-179.489929,117996.3516,-171.399765,118479.9766,177.19838,228.884995,-130.897385,230.71608,-132.066208,498.053772,-156.067398,499.884827,-155.786652,2024.258911,-172.557129,798.350891,-3.781797
99999,XXXXX,1/7/2021,12:13:37.200,00 00,59.999001,0,357030.3125,-179.535751,356669.2188,-179.501389,117991.9688,-171.405502,118477.7813,177.18692,227.969467,-131.023422,230.71608,-132.180801,497.138214,-156.308044,498.969299,-155.947083,2024.258911,-172.557129,798.350891,-3.793258
99999,XXXXX,1/7/2021,12:13:37.233,00 00,59.999001,0,357019.3438,-179.541489,356658.2813,-179.512848,117987.6016,-171.416946,118471.2188,177.175461,227.969467,-130.868713,229.800537,-132.043289,498.053772,-156.147614,498.969299,-155.723633,2024.258911,-172.562851,798.350891,-3.873472
99999,XXXXX,1/7/2021,12:13:37.267,00 00,60,0,357030.3125,-179.552948,356658.2813,-179.524292,117987.6016,-171.422684,118473.4141,177.169724,228.884995,-131.0177,231.631622,-131.985992,498.053772,-156.17627,498.969299,-155.740829,2025.174438,-172.54567,798.350891,-3.856287
99999,XXXXX,1/7/2021,12:13:37.300,00 00,60,0,357030.3125,-179.558685,356669.2188,-179.530029,117987.6016,-171.434143,118477.7813,177.164001,227.053925,-130.777039,229.800537,-132.106308,497.138214,-155.987198,498.969299,-155.712173,2024.258911,-172.568588,797.435364,-3.781797
99999,XXXXX,1/7/2021,12:13:37.333,00 00,60,0,357030.3125,-179.564407,356669.2188,-179.535751,117987.6016,-171.439865,118479.9766,177.158279,228.884995,-130.799973,230.71608,-132.094864,498.053772,-156.021576,498.969299,-155.758011,2025.174438,-172.562851,796.519775,-3.793258
99999,XXXXX,1/7/2021,12:13:37.367,00 00,60,0,357041.25,-179.570145,356669.2188,-179.541489,117985.4063,-171.439865,118479.9766,177.14682,227.969467,-130.788513,230.71608,-131.911514,498.053772,-156.015839,498.969299,-155.792389,2025.174438,-172.551407,798.350891,-3.850564
